Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,COFORGE.NS,DIVISLAB.NS,DMART.NS,DRREDDY.NS,EICHERMOT.NS,GODREJCP.NS,GRASIM.NS,HAVELLS.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LTIM.NS,M&M.NS,MARUTI.NS,MCDHOLDING.NS,MOTHERSON.NS,NAUKRI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,PIDILITIND.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS,WIPRO.NS
1/1/2003,0.046526659,,44.80257416,16.16006279,7.05741024,79.66385651,498.0031738,0.315347403,9.382204056,6.940057755,37.44107056,60.94740677,,,,,79.36611938,5.959927082,5.293380737,37.38707352,1.114194512,12.79990768,8.965812683,,118.9463425,39.60663223,106.4815598,18.27245522,12.05665684,46.3633461,4.414690971,7.49948597,,1.628747225,35.01018906,,10.17662716,,43.95000076,0.035109825,,432.9907227,,14.05999565,2.103263617,,16.95682907,,19.4869976,43.62415695,1.444737077,11.70442486,11.9342556,4.468924999,39.74289703,,3.377122879,11.45985699,283.733551,14.34447479,0.448369622,23.78336716
1/2/2003,0.046655562,,45.75493622,16.25399208,6.952197552,78.67735291,491.8363342,0.315347403,9.382204056,7.159541607,37.4991684,61.52186203,,,,,78.27777863,6.14163208,5.30456686,37.39905167,1.113384843,12.40987682,9.080170631,,118.7190018,39.48832703,105.222229,18.08374214,12.13444424,45.62332916,4.577958107,7.515409946,,1.56342423,34.82165909,,10.06420517,,43.15000153,0.035109825,,433.2382202,,14.52464581,2.094143152,,16.71198845,,19.73353577,44.46960068,1.45687747,11.82267952,11.80758762,4.4202528,37.92935944,,3.304944754,11.94326019,283.8243408,13.80112648,0.442897916,23.53915405
1/3/2003,0.046687767,,46.05120468,16.28157997,6.80651474,79.38982391,496.2901306,0.31633386,9.340783119,7.140991211,37.38659286,61.36304092,,,,,78.47997284,6.225216389,5.3314147,36.96821594,1.140106082,12.44040108,8.959575653,,119.1282272,39.80942154,105.3979568,17.79742432,12.05665684,46.37541962,4.548273563,7.688309669,,1.585999131,33.85255432,,10.2260952,,43.45000076,0.035109825,,434.2693481,,14.520648,2.199944735,,16.39596748,,19.59657288,42.73646545,1.45687747,12.14324093,11.71172905,4.393703938,38.39290237,,3.230973244,11.85696507,280.554718,13.80112648,0.435816675,23.47541809
1/6/2003,0.046365593,,46.47447968,16.35835838,6.798422813,78.56772614,491.151001,0.312458545,9.195804596,7.004974842,37.51369858,62.96477509,,,,,79.30588531,5.985364914,5.302331924,36.96821594,1.11581409,12.39631748,8.934624672,,117.6050034,39.86687851,105.0758514,17.33541107,11.93998051,46.39473343,4.556621552,7.64621973,,1.519235492,33.23404312,,9.771902084,,42.34999847,0.035109825,,435.8366394,,14.73294926,2.297537565,,16.21660423,,19.10006332,42.1869278,1.438666582,11.78163338,11.63983727,4.296361923,37.25437546,,3.206764936,12.59706593,280.554718,13.80112648,0.4329198,23.87504005
1/7/2003,0.046462256,,47.0882225,16.44782257,6.80651474,77.53426361,484.6904602,0.315347403,9.154379845,7.066802025,37.49554062,63.54601669,,,,,81.34487915,6.043511868,5.570803642,37.08788681,1.133628249,12.29456234,9.051062584,,114.4676437,39.90068054,104.0801315,17.26382637,11.78441143,45.9285965,4.668867588,7.71219635,,1.495699883,33.76986313,,9.569540024,,41.84999847,0.035109825,,437.5688477,,14.87716103,2.298449516,,16.23084068,,19.14115143,42.35603333,1.45687747,11.70833397,11.54055691,4.322911263,36.8233757,,3.171796322,11.8086977,281.4629517,13.04043198,0.435172796,23.65660286
1/8/2003,0.046301134,,48.27334976,16.44334984,6.944103241,78.04316711,487.8717957,0.315347403,8.967980385,7.164179325,37.63354111,63.59669113,,,,,81.54275513,6.174339294,5.946662903,37.69824219,1.183022261,12.31830406,8.938783646,,114.9678421,39.47480011,104.1387177,17.32239532,11.9788723,46.26287079,4.640111446,7.751442432,,1.588880897,34.45783234,,9.983259201,,41.95000076,0.035109825,,441.1984558,,14.48259163,2.305746794,,16.45291328,,19.21990967,43.53963089,1.45687747,11.59887314,11.62614155,4.404029846,38.14081573,,3.213488817,11.9600811,286.0950317,13.14910412,0.437425911,23.58140755
1/9/2003,0.046140023,,47.70194626,16.45079613,7.000757217,77.48727417,484.3967285,0.309851021,8.905845642,7.224462509,37.66259003,63.64736938,,,,,83.44841766,6.177973747,5.62673521,37.65036774,1.181402683,12.19281578,8.897198677,,113.5355835,39.5018425,105.4858322,17.4395256,11.93998051,46.35705566,4.612282276,7.702527523,,1.644117355,34.21637726,,9.996748924,,42.70000076,0.035109825,,442.5183716,,15.19359779,2.294800758,,16.87426758,,19.57260132,45.14594269,1.45687747,11.55782604,11.77334976,4.443850517,38.51490402,,3.222007275,12.2401762,285.7316895,12.82309151,0.43806982,23.56922913
1/10/2003,0.04597893,,46.68610001,16.48286057,7.17881155,77.52642822,484.641571,0.312458545,8.595178604,7.114718437,37.64806366,63.71495819,,,,,84.81636047,6.247021198,5.613310814,37.42896271,1.167636871,11.71799278,8.936705589,,113.785675,39.9141922,105.6029663,18.07073593,12.09555244,42.97476959,4.486121178,7.762247562,,1.623463631,33.86248016,,9.848348618,,42.54999924,0.035109825,,448.2513733,,14.90719128,2.291152954,,16.91412544,,19.60342026,44.55413818,1.432596564,11.39558983,11.63983727,4.408453465,36.15650177,,3.150277853,12.1056118,284.0514526,13.14910412,0.4322761,21.90054703
1/13/2003,0.045527846,,46.85541534,16.39563179,7.17881155,77.53426361,484.6904602,0.315065354,8.843711853,6.980245113,37.63716888,62.59306717,,,,,84.54532623,6.457798958,5.646870136,36.89042282,1.194358349,11.66372776,9.032347679,,112.8307724,39.89729691,105.7201538,18.42212677,12.05665684,41.51017761,4.551056862,7.759400845,,1.612416267,33.90215683,,9.86633873,,43.90000153,0.035109825,,447.962738,,14.7990427,2.282944679,,16.81163216,,19.45274925,44.72322464,1.450807214,11.53632355,11.50631905,4.415828705,36.52246857,,3.123826981,11.96739388,279.9644165,13.04043198,0.42776984,22.01011848
1/14/2003,0.04597893,,46.58029175,16.69383049,7.154531479,79.93003845,499.6672363,0.341773003,8.802289009,6.935419559,37.60448456,61.45088959,,,,,84.10228729,6.534114838,5.593176842,37.61446762,1.113384843,11.91131115,9.067694664,,111.6940842,40.55978012,105.7201538,18.29197884,12.64004326,42.9694519,4.544562817,7.62517643,,1.612896442,33.99477768,,9.920302391,,44,0.035109825,,444.1682129,,14.85912514,2.299361706,,16.76893044,,19.37742424,43.66644287,1.45687747,11.78260994,11.57479,4.411403656,37.01040649,,3.156553984,11.95349598,285.459259,13.09476948,0.431310356,22.6152916
1/15/2003,0.046140023,,46.6649437,16.33152008,7.292117596,78.86524963,493.0108643,0.33303532,8.988692284,6.975606918,37.45923233,60.97779083,,,,,85.39707947,6.345142841,5.595414162,37.63839722,1.173305154,11.67389965,9.042746544,,112.5352936,40.45500183,105.251564,18.49370575,13.02896786,44.55529404,4.635474205,7.753145218,,1.623944163,33.95178223,,9.987755775,,43.70000076,0.035109825,,447.5915833,,14.81506062,2.275648117,,16.55824661,,19.52466011,44.80776596,1.481159091,12.11490154,11.53370953,4.386331081,37.75045776,,3.189280987,11.97763538,285.6408081,13.09476948,0.435816675,22.6733036
1/16/2003,0.045817804,,46.51680756,16.71620178,7.478265285,82.9052124,518.2658691,0.323380858,8.822999954,7.045162201,37.69890976,61.14675522,,,,,86.08965302,6.181607723,5.722938061,37.59052658,1.123911619,11.6162405,9.111363411,,113.6719971,40.55978012,105.0465469,18.77351761,13.4178915,44.53598785,4.636399746,7.752007008,,1.617699742,33.51517868,,9.987755775,,43.29999924,0.035109825,,442.8482056,,14.85111904,2.27017498,,16.59525681,,19.70271873,44.46960068,1.462947607,11.72788239,11.50974655,4.436477661,38.28718567,,3.211247683,11.72898102,285.2775574,12.76875496,0.490534961,22.54224205
1/17/2003,0.04597893,,46.8977356,16.62226105,7.219277382,82.1065979,513.2734985,0.321478397,8.864424706,7.045162201,37.44107056,61.1906929,,,,,84.36465454,6.239752769,5.595414162,37.53068924,1.165207982,11.41274166,9.302654266,,111.8304825,40.41782379,104.4901505,18.81256485,13.45678616,44.63548279,4.61877346,7.715037346,,1.612896442,33.55487823,,10.00574303,,43.45000076,0.042131968,,447.9213867,,15.03737736,2.296625376,,16.64650726,,20.09649849,45.73774719,1.493299961,11.72788239,11.60560322,4.52349472,37.42516708,,3.352913857,11.57320786,284.8233948,12.76875496,0.498259991,21.93206215
1/20/2003,0.045721158,,45.94539261,16.63195229,7.251651764,82.9052124,518.2658691,0.315347403,10.31420898,7.003430367,37.3321228,58.66304398,,,,,82.67839813,6.127096176,5.702802181,37.42298508,1.130389333,11.23298645,9.31097126,,109.0568771,40.48542023,104.0508728,18.70194244,13.76792431,43.75584793,4.558477402,7.720727444,,1.577833533,32.82722092,,9.929296494,,44.09999847,0.042131968,,442.6009216,,15.03537846,2.313954592,,16.50415611,,19.89789581,46.033638,1.462947607,11.66337681,11.60560322,4.578066349,36.22969055,,3.344395876,11.51836014,284.006012,12.87742901,0.488282114,21.42143822
1/21/2003,0.045753367,,46.58029175,16.62971497,7.453986168,81.45677948,509.2113647,0.316615969,10.06567574,6.878227234,37.12149048,58.63263321,,,,,82.32997131,6.14163208,5.65805769,38.70352936,1.153061628,11.00914192,9.408696175,,108.306633,40.53273773,104.5780106,19.48281288,14.27353096,43.21386337,4.56682682,7.505171299,,1.598487139,32.82722092,,9.960774422,,43.65000153,0.042131968,,440.3323059,,15.09145355,2.383273363,,16.63227081,,20.49712563,45.65319443,1.444737077,11.63014889,11.61244965,4.679833889,35.28636551,,3.252492189,11.06566906,293.7242126,12.87742901,0.49246642,21.24453735
